Country,Species_Name,CrabLobShrimp,FAOFishingArea,Unit (Name),Unit,[1950],[1951],[1952],[1953],[1954],[1955],[1956],[1957],[1958],[1959],[1960],[1961],[1962],[1963],[1964],[1965],[1966],[1967],[1968],[1969],[1970],[1971],[1972],[1973],[1974],[1975],[1976],[1977],[1978],[1979],[1980],[1981],[1982],[1983],[1984],[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019],[2020],[2021],ThreeYearTotal,TwentyYearTotal
United States of America,American lobster,1,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",10522,11769,11354,12753,12465,13133,12030,13678,12350,13193,14138,12700,13379,13733,13915,13719,13400,12129,14755,15313,15500,15300,14600,13100,12946,13698,14280,14382,15612,16867,16761,17007,17892,20052,19943,20934,20890,20665,22064,24007,27677,28729,25307,25634,30126,31734,32343,37451,36044,40166,39374,32293,37688,32515,41381,39854,43599,36759,39803,45711,53337,57299,68348,68314,67138,66694,72318,62177,66962,57899,54855,61093,173847,1073744
United States of America,Blue crab,1,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",39292,34698,30491,29755,26587,22060,24899,29260,23954,21857,33756,34662,40889,30640,36062,39840,44577,37908,25561,28132,38200,39800,39400,28900,36398,33159,27382,29426,28435,34567,39432,54419,54248,53366,53284,49662,47252,47194,49643,56740,58969,63004,43212,73171,39760,63843,68168,68912,63015,61809,46721,42287,45729,44823,47581,43718,39556,39234,45765,47994,68025,60962,52494,33507,36578,41665,45495,37430,34556,40351,29114,24087,93552,858664
United States of America,Blue crab,1,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",17895,17174,16790,20386,19473,23888,19708,22327,26364,30983,36413,34629,29517,35249,35194,37848,32533,29531,26964,33909,29000,29000,28700,34200,32609,29145,26120,29450,34627,34878,35307,35365,34424,33667,39130,36792,36433,42816,50170,37684,33206,39158,45074,40870,56889,33757,36253,37536,38541,38204,37664,29837,33911,32692,32523,28475,35796,32017,27892,32017,22412,30944,30700,26290,27127,27711,27940,29576,28850,28679,26813,29381,84873,591746
United States of America,Dungeness crab,1,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",5483,5571,4427,6726,8125,6273,7917,10482,10463,8929,9653,9520,9136,10393,9629,10936,12403,13934,15401,18197,23400,16400,12600,6300,6220,8127,15305,26834,17249,16987,16938,15079,14728,12764,11011,12219,9433,11895,19840,18235,13757,9533,18149,24594,19202,21760,29547,17362,15557,19955,17335,16578,22211,38802,32974,29785,40322,25852,22655,28755,29954,21759,12836,25797,16642,9529,18705,22089,24002,21736,22683,24450,68869,491538
United States of America,Queen crab,1,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67133,33569,29195,53152,109060,83007,14883,11246,14486,12479,10745,11279,17245,15479,28324,26349,21700,24517,40019,29705,24402,27629,17950,9671,8545,12365,15244,20020,47629,388153
United States of America,King crab,1,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,8546,12959,19691,23942,35716,39336,59725,72213,57932,37211,26186,23600,32100,42700,34800,43189,44283,48035,45110,59076,70121,84198,39941,17460,11603,7804,6969,11752,13184,9513,11971,15385,12764,8644,11218,5425,6481,9665,9374,10761,7675,6848,7282,7617,10381,10013,10859,9817,11766,12341,10157,10593,7710,7419,7000,7554,7392,6613,5847,5067,4906,3860,2735,11501,159647
United States of America,Jonah crab,1,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,170,343,166,188,136,99,66,22,15,41,313,504,700,1060,1327,1175,996,1195,1099,1120,864,1202,1981,1255,1547,1191,1817,1187,1459,2024,3257,3043,3890,4119,3771,5226,4481,5603,7221,7899,6378,7295,7975,9147,7242,6233,5020,18495,102470
United States of America,Dungeness crab,1,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",5317,5247,5896,3755,3551,2776,6480,8670,7840,7830,6748,5312,1462,885,823,2179,5614,5315,7265,3601,3100,2500,100,200,150,199,319,552,555,563,425,1058,181,283,310,610,732,1468,1679,356,491,589,759,559,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9365,11702,14272,8369,1415,12103,5842,8537,7089,3803,4704,15596,87201
United States of America,Caribbean spiny lobster,1,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",707,1405,731,905,883,1041,1412,1832,1340,1442,1292,1272,1424,1626,1647,2608,2427,2002,3247,3839,4600,3900,5400,5100,4938,3363,2430,2318,2080,2699,2959,2463,2649,2053,2369,1667,2362,2169,2438,2438,2606,2878,1792,2548,3420,3186,3569,3226,2645,3438,2615,1546,2035,1937,2271,1527,2165,1706,1579,1931,2612,2636,1863,2781,2533,2691,2454,1759,2880,1896,1621,2133,5650,43010
United States of America,Tanner crab,1,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5249,3020,1685,839,1218,982,765,931,590,689,899,1596,2042,1886,1649,1561,1195,2706,2162,1565,4222,7453,5339,1085,1825,1449,1051,1022,3522,41986
United States of America,Black stone crab,1,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",19,30,45,52,120,127,124,109,144,148,189,217,297,371,428,396,485,441,636,620,700,800,900,900,1175,980,1126,1098,1455,1743,1770,1845,2560,2130,1774,1751,1658,1612,2268,2404,2639,2855,1961,2483,3177,2751,2968,2973,3213,2605,3164,3075,2964,2448,2750,2094,2222,2721,2841,2502,1231,1305,1271,942,931,1303,1406,1175,993,1044,1020,968,3032,34131
United States of America,Marine crabs nei,1,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961,501,846,103,185,1896,182,4168,1859,834,336,901,1220,1366,885,297,228,295,238,177,1565,961,1875,3325,9565,6886,5580,4125,2541,2621,675,1687,587,362,140,67,52,56,36,4,20,0,12,0,0,12,25451
United States of America,Atlantic rock crab,1,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",1685,1056,680,989,657,728,792,621,749,857,722,882,910,1052,1033,1031,924,839,742,715,800,400,600,700,651,522,644,746,775,680,629,341,723,950,1108,994,772,1343,692,247,344,524,743,880,718,915,705,1133,1364,1300,1828,282,502,1384,1332,1707,1664,1959,2178,1892,743,615,565,469,778,846,760,1065,1197,956,617,632,2205,21861
United States of America,Horseshoe crab,1,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",612,279,281,75,1,122,88,111,153,35,266,503,154,91,161,96,60,25,37,5,0,0,0,0,8,28,927,23,78,134,219,137,1,212,100,53,1,227,302,495,332,494,449,810,634,1096,2340,2714,3033,2300,1566,1060,1257,1190,515,687,612,819,597,825,539,896,1140,1328,1156,605,893,996,769,1157,665,714,2536,17360
United States of America,Pacific rock crab,1,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,10,8,22,18,25,27,69,71,59,55,69,91,109,120,149,150,147,159,227,300,200,400,400,283,545,557,300,305,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,532,589,582,362,496,541,553,567,511,498,524,582,554,583,568,683,793,896,1076,1010,598,586,664,650,572,481,1703,12949
United States of America,Red crab,1,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,665,313,658,1159,1413,1217,2546,3706,44,24,30,2230,1249,2113,3538,2394,1527,1791,1061,1440,0,523,466,528,892,845,2383,0,1660,0,2041,2014,1716,983,0,1012,0,0,0,0,0,1476,0,1235,0,0,4,0,4,12141
United States of America,Right-handed hermit crabs nei,1,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926,847,1027,1303,1237,1186,992,804,764,870,1086,1016,2972,12058
United States of America,Tropical spiny lobsters nei,1,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",423,374,366,340,409,390,334,294,287,230,159,190,235,265,203,218,222,204,142,140,100,100,200,100,88,93,135,169,93,159,153,539,272,314,490,742,711,441,812,753,623,341,418,208,256,300,395,503,392,289,325,320,322,337,392,350,405,305,340,325,325,341,398,343,428,349,302,317,395,374,330,304,1008,6982
